row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
286519,0.0844948888,0.1409490705,0.7745560408,0.0149406587,0.1143131005,0.8707462408
286543,0.0492308956,0.0684329713,0.8823361331,0.0133583869,0.0468160842,0.9398255289
286551,0.7257172249,0.1556525631,0.1186302120,0.8357243395,0.1271180706,0.0371575899
286649,0.1690841193,0.3563315325,0.4745843481,0.0164785943,0.3131422267,0.6703791789
286955,0.0152394125,0.0174504216,0.9673101659,0.0113584037,0.0359682783,0.9526733180
286992,0.0541296645,0.0674029447,0.8784673908,0.0135513121,0.0468910468,0.9395576411
287045,0.3464367688,0.3294346035,0.3241286278,0.3489744725,0.2791795780,0.3718459495
287285,0.7612244969,0.1683393245,0.0704361786,0.8531808752,0.1228743748,0.0239447500
287657,0.1480209358,0.4079939066,0.4439851575,0.0160415428,0.4281966201,0.5557618371
287684,0.1379289817,0.2324872235,0.6295837948,0.0174434852,0.1710895259,0.8114669889
288217,0.1008752271,0.2297345813,0.6693901916,0.0171266834,0.1679822650,0.8148910516
288657,0.0954749449,0.2042945058,0.7002305493,0.0165953094,0.1582490307,0.8251556600
288685,0.0252333849,0.0311037087,0.9436629065,0.0114580993,0.0395416760,0.9490002247
289008,0.1428547374,0.5794733849,0.2776718777,0.0168767016,0.7226983348,0.2604249636
289548,0.1385355931,0.2993780464,0.5620863605,0.0165319777,0.2144041548,0.7690638675
289786,0.1772332367,0.2363997435,0.5863670198,0.0198087324,0.1706776728,0.8095135948
289902,0.1962761312,0.6944711312,0.1092527376,0.0358113085,0.9151454605,0.0490432310
289912,0.1519622631,0.5844389709,0.2635987660,0.0168767016,0.7226983348,0.2604249636
289980,0.2596252781,0.6261182837,0.1142564382,0.2091715708,0.7506031272,0.0402253021
290083,0.7695122189,0.1294014276,0.1010863535,0.8610689413,0.1051145330,0.0338165257
290348,0.0821837131,0.1277637361,0.7900525508,0.0149580912,0.1132796935,0.8717622153
290498,0.0374974533,0.0482730975,0.9142294492,0.0122654681,0.0413855251,0.9463490068
290652,0.1227820283,0.7325207536,0.1446972181,0.0207955800,0.8905135299,0.0886908901
290754,0.1885883333,0.4488753013,0.3625363654,0.0258932367,0.5778469690,0.3962597943
290827,0.1029792428,0.2124030590,0.6846176982,0.0168984363,0.1611395793,0.8219619844
290829,0.0559775921,0.0864072095,0.8576151984,0.0129718438,0.1032628868,0.8837652694
290844,0.6264862325,0.2218674835,0.1516462840,0.7710408116,0.1530877991,0.0758713893
290934,0.1153835952,0.2194550335,0.6651613712,0.0174434852,0.1710895259,0.8114669889
291156,0.1014928669,0.1742162853,0.7242908478,0.0165157224,0.1296629082,0.8538213694
291294,0.1970098182,0.6890667132,0.1139234685,0.0358113085,0.9151454605,0.0490432310
291358,0.0324550984,0.0365241511,0.9310207506,0.0119327868,0.0413994642,0.9466677490
291470,0.0459747167,0.0555650706,0.8984602127,0.0127828858,0.0419139522,0.9453031620
291512,0.3446194828,0.4267045259,0.2286759913,0.3009226238,0.4443779767,0.2546993995
291744,0.1362487376,0.3695058525,0.4942454100,0.0147247891,0.3172646687,0.6680105422
291766,0.1726014465,0.6365194917,0.1908790618,0.0183987014,0.7878737951,0.1937275035
291982,0.1900712131,0.5946953981,0.2152333888,0.0235179650,0.7178163124,0.2586657227
292018,0.1056865171,0.1572544747,0.7370590081,0.0164602960,0.1292277621,0.8543119419
292078,0.8223144381,0.1169171105,0.0607684513,0.8719140368,0.1064384423,0.0216475209
292102,0.3588644564,0.2862997353,0.3548358083,0.3885241937,0.2007248281,0.4107509782
292505,0.4190370142,0.4338354468,0.1471275389,0.5641778964,0.3743648165,0.0614572872
292551,0.8484394456,0.0942065631,0.0573539914,0.8729498753,0.1059801735,0.0210699512
292652,0.4312520687,0.4066020311,0.1621459002,0.5599819093,0.3684091509,0.0716089398
293408,0.3097649469,0.4802397120,0.2099953412,0.2850868350,0.4736170978,0.2412960672
293510,0.5856360284,0.2177466634,0.1966173082,0.6790259139,0.1335121411,0.1874619450
293535,0.3352175951,0.3382524550,0.3265299499,0.3489744725,0.2791795780,0.3718459495
293606,0.3837707284,0.3817149046,0.2345143671,0.3667846119,0.3689678536,0.2642475344
293833,0.4298384616,0.2710711143,0.2990904242,0.5812139893,0.1405029789,0.2782830318
293976,0.1004548833,0.1507987701,0.7487463467,0.0164602960,0.1292277621,0.8543119419
294012,0.7345204189,0.1550729538,0.1104066273,0.8366075058,0.1264346682,0.0369578261
294041,0.2771828175,0.2316755950,0.4911415875,0.1871843847,0.1538501792,0.6589654360
294083,0.7323844433,0.1503363848,0.1172791719,0.8357243395,0.1271180706,0.0371575899
294092,0.2224825140,0.3261805128,0.4513369731,0.0872536923,0.2533080349,0.6594382728
294186,0.4338966971,0.4370047217,0.1290985812,0.5624505834,0.4057366008,0.0318128158
294375,0.2215139088,0.3465769835,0.4319091077,0.1016123508,0.2949929594,0.6033946898
294577,0.4524097077,0.3161399317,0.2314503605,0.5747781592,0.2066195997,0.2186022411
294787,0.2588545459,0.2798784459,0.4612670082,0.1980641933,0.1627924877,0.6391433190
294857,0.2256178226,0.1961929918,0.5781891856,0.0970894500,0.1535966954,0.7493138546
294891,0.1066853835,0.1518026270,0.7415119895,0.0164602960,0.1292277621,0.8543119419
294901,0.0692686418,0.1453940527,0.7853373055,0.0137133781,0.1234471742,0.8628394477
294956,0.0877682742,0.1328132341,0.7794184917,0.0154894561,0.1132185866,0.8712919573
295066,0.2897824645,0.2780778706,0.4321396649,0.2857675459,0.1767173082,0.5375151459
295223,0.1080000898,0.1730720064,0.7189279038,0.0168121900,0.1319904390,0.8511973710
295451,0.0350174429,0.0651512983,0.8998312589,0.0122104104,0.0436070634,0.9441825262
295572,0.1505849957,0.3307392597,0.5186757445,0.0161017737,0.2348473515,0.7490508747
295581,0.2677023411,0.4339263141,0.2983713448,0.2047500145,0.4619360084,0.3333139771
296011,0.1764655411,0.4049478769,0.4185865819,0.0197406054,0.4629002697,0.5173591249
296325,0.3297392228,0.3990039646,0.2712568126,0.3302277433,0.3902691511,0.2795031056
296410,0.1010684043,0.2521737739,0.6467578218,0.0174434852,0.1710895259,0.8114669889
296437,0.3004129231,0.5580175519,0.1415695250,0.2910997379,0.6549744102,0.0539258520
296879,0.3420823020,0.3888857183,0.2690319797,0.3302277433,0.3902691511,0.2795031056
297124,0.1507191658,0.4043680727,0.4449127614,0.0160415428,0.4281966201,0.5557618371
297255,0.2684685290,0.4825521708,0.2489793003,0.2069873462,0.5253566027,0.2676560511
297323,0.2228075448,0.4798593891,0.2973330661,0.0917813477,0.5533243791,0.3548942732
297793,0.4515262909,0.3765840587,0.1718896504,0.6018399446,0.3196045457,0.0785555097
298006,0.7829675499,0.1425874052,0.0744450448,0.8662906549,0.1090884528,0.0246208923
